Dataset,DR_Method,Clustering,Silhouette
Cancer,None,K-Means,0.08681559132410345
Cancer,None,GMM,0.07222682244912479
Bankruptcy,None,K-Means,0.10741175195746241
Bankruptcy,None,GMM,0.03379523488318877
Cancer,PCA,K-Means,0.3291808346269086
Cancer,PCA,GMM,0.32941025434958215
Cancer,ICA,K-Means,0.3377643830281276
Cancer,ICA,GMM,0.33106086765134574
Cancer,RP,K-Means,0.35998119821723323
Cancer,RP,GMM,0.3603541804601869
Bankruptcy,PCA,K-Means,0.3748902802552514
Bankruptcy,PCA,GMM,0.4080541090820148
Bankruptcy,ICA,K-Means,0.34280317555307044
Bankruptcy,ICA,GMM,0.416846872848272
Bankruptcy,RP,K-Means,0.3151743779955832
Bankruptcy,RP,GMM,0.4395650222966767
